"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 1942.00256548291, 307.231257668871, 1942.00256548291, 1966.15487946169, 29.2418216733472, 58.1132791846782, 29.2418216733472
2, 1796.36768452747, 217.598897692539, 1942.00256548291, 1966.15487946169, 25.5457954432598, 50.6826950834772, 29.2418216733472
3, 1692.42105506961, 153.961023463189, 1942.00256548291, 1966.15487946169, 23.1453061785314, 45.8579214024108, 29.2418216733472
4, 1633.99289229956, 121.694097016217, 1942.00256548291, 1966.15487946169, 21.8599295875451, 43.2782124394465, 29.2418216733472
5, 1624.38258382453, 115.839699302702, 1942.00256548291, 1966.15487946169, 21.6580309972613, 42.8725949568465, 29.2418216733472
6, 1666.28504945827, 141.382385460388, 1942.00256548291, 1966.15487946169, 22.5510466297907, 44.6670224063518, 29.2418216733472
7, 1747.27718530626, 190.877692270617, 1942.00256548291, 1966.15487946169, 24.3685797753153, 48.3200623735065, 29.2418216733472
8, 1813.5832906173, 231.522465202094, 1942.00256548291, 1966.15487946169, 25.9451669812628, 51.4890298635178, 29.2418216733472
9, 1911.85624231468, 291.979119661642, 1942.00256548291, 1966.15487946169, 28.4310766897353, 56.4870514311989, 29.2418216733472
10, 2035.64603587997, 365.089717394062, 2035.64603587997, 2068.12603221871, 31.8116140784081, 63.2879761124284, 31.8116140784081
11, 2109.07003898383, 407.340701320081, 2109.07003898383, 2148.04629286503, 33.9568909322634, 67.599048053897, 33.9568909322634
12, 2136.41396113317, 424.353058985746, 2136.41396113317, 2178.15062197161, 34.7769584102622, 69.2482942031641, 34.7769584102622
13, 2160.61524006965, 439.425413194325, 2160.61524006965, 2204.8475932323, 35.514961499861, 70.7328908441699, 35.514961499861
14, 2123.69551795786, 416.43572712472, 2160.61524006965, 2204.8475932323, 34.3943286179806, 68.4789885728302, 35.514961499861
15, 2125.84439356848, 417.774271194578, 2160.61524006965, 2204.8475932323, 34.458402048897, 68.6076468386935, 35.514961499861
16, 2140.38820504558, 426.826762257026, 2160.61524006965, 2204.8475932323, 34.8975649053117, 69.4909795396445, 35.514961499861
17, 2240.88698601963, 489.529483850732, 2240.88698601963, 2293.73355027809, 38.0408907572911, 75.8146180002034, 38.0408907572911
18, 2645.93829973842, 731.702390117818, 2645.93829973842, 2745.24641402676, 52.5835586456209, 105.102669873939, 52.5835586456209
19, 2761.6626300587, 790.79668277136, 2761.6626300587, 2872.65380367091, 56.5681895472021, 113.114360974943, 56.5681895472021
20, 2680.51715421831, 739.042090896147, 2761.6626300587, 2872.65380367091, 53.2864151206494, 106.505979758548, 56.5681895472021
21, 2577.52699197759, 673.619747545647, 2761.6626300587, 2872.65380367091, 49.2978003184632, 98.4737056497088, 56.5681895472021
22, 2433.12010804545, 589.141624040317, 2761.6626300587, 2872.65380367091, 44.0529777096311, 87.9166052036563, 56.5681895472021
23, 2219.30369146509, 455.053850379586, 2761.6626300587, 2872.65380367091, 36.9607529931657, 73.6435367375405, 56.5681895472021
24, 1950.34322331424, 308.987988445396, 2761.6626300587, 2872.65380367091, 29.4652014110168, 58.5641750121953, 56.5681895472021
25, 1756.50536361645, 189.756242549391, 2761.6626300587, 2872.65380367091, 24.6104211353903, 48.8036449678719, 56.5681895472021
26, 1644.67296409233, 124.791423941237, 2761.6626300587, 2872.65380367091, 22.0998619453212, 43.7612138014732, 56.5681895472021
27, 1585.46840151533, 88.7425886644419, 2761.6626300587, 2872.65380367091, 20.87318359045, 41.2963346275146, 56.5681895472021
28, 1570.10662805843, 79.4077505998757, 2761.6626300587, 2872.65380367091, 20.5649612038064, 40.6768899634881, 56.5681895472021
29, 1600.930017167, 98.153185275004, 2761.6626300587, 2872.65380367091, 21.187032868588, 41.926781161247, 56.5681895472021
30, 1715.54791400851, 168.059812106712, 2761.6626300587, 2872.65380367091, 23.6527718466553, 46.8824129146146, 56.5681895472021
31, 1928.36374436807, 298.76201614816, 2761.6626300587, 2872.65380367091, 28.8671549345695, 57.3657258151865, 56.5681895472021
32, 2135.73698686112, 423.930837759793, 2761.6626300587, 2872.65380367091, 34.7571380003306, 69.2087801604041, 56.5681895472021
33, 2277.77093473109, 509.290167519773, 2761.6626300587, 2872.65380367091, 39.2548535622952, 78.2746760318352, 56.5681895472021
34, 2446.20315364735, 608.483800265732, 2761.6626300587, 2872.65380367091, 45.0385687190402, 89.9147109773424, 56.5681895472021
35, 2598.44003954961, 701.5047046974, 2761.6626300587, 2872.65380367091, 50.7193518789606, 101.348966273376, 56.5681895472021
36, 2558.24271159975, 675.991572639297, 2761.6626300587, 2872.65380367091, 49.1757481806218, 98.2411876602256, 56.5681895472021
37, 2497.07984610302, 637.263919868383, 2761.6626300587, 2872.65380367091, 46.8842080704767, 93.6274642773595, 56.5681895472021
38, 2427.61187297618, 593.395164989964, 2761.6626300587, 2872.65380367091, 44.3680075311116, 88.5623082855625, 56.5681895472021
39, 2387.16489085126, 567.903991436114, 2761.6626300587, 2872.65380367091, 42.9454802279908, 85.6992856946438, 56.5681895472021
40, 2334.37853517099, 534.72300982667, 2761.6626300587, 2872.65380367091, 41.1336100514209, 82.0521338888999, 56.5681895472021
41, 2427.34175593647, 593.225758751414, 2761.6626300587, 2872.65380367091, 44.3583183715032, 88.5426088913935, 56.5681895472021
42, 2799.08591230609, 811.369694767462, 2799.08591230609, 2914.30999141434, 58.1213710949582, 116.262842132687, 58.1213710949582
43, 2899.62771191088, 875.842026366852, 2899.62771191088, 3029.01636225886, 62.4264814855712, 124.933732664603, 62.4264814855712
44, 2792.17940092138, 806.949301183082, 2899.62771191088, 3029.01636225886, 57.8328721224204, 115.68198226435, 62.4264814855712
45, 2682.68276728376, 737.060128152986, 2899.62771191088, 3029.01636225886, 53.3744569394739, 106.703367394906, 62.4264814855712
46, 2508.36487585813, 633.256327525363, 2899.62771191088, 3029.01636225886, 46.7488619760204, 93.3394634873157, 62.4264814855712
47, 2253.80207599122, 476.608274552964, 2899.62771191088, 3029.01636225886, 38.0476629479756, 75.8302528458804, 62.4264814855712
48, 2022.29856459267, 342.787954681175, 2899.62771191088, 3029.01636225886, 31.136720505308, 61.913661161149, 62.4264814855712
49, 1800.41781779872, 223.420505620525, 2899.62771191088, 3029.01636225886, 25.6239628392588, 50.8442528288776, 62.4264814855712
50, 1668.60827784127, 142.775802339253, 2899.62771191088, 3029.01636225886, 22.600100088277, 44.7663689606458, 62.4264814855712
51, 1593.15458897006, 96.801615097649, 2899.62771191088, 3029.01636225886, 21.0119954336824, 41.5752323703265, 62.4264814855712
52, 1559.03070045891, 76.0688282399864, 2899.62771191088, 3029.01636225886, 20.3272863152072, 40.1993611494021, 62.4264814855712
53, 1567.61852006143, 81.2927808862621, 2899.62771191088, 3029.01636225886, 20.4972891043636, 40.5408125005145, 62.4264814855712
54, 1606.83522800276, 105.142158181757, 2899.62771191088, 3029.01636225886, 21.2916162418781, 42.1367701653226, 62.4264814855712
55, 1709.07946327373, 167.490388438243, 2899.62771191088, 3029.01636225886, 23.4947464233286, 46.5643694336553, 62.4264814855712
56, 1837.66700176366, 246.292650775337, 2899.62771191088, 3029.01636225886, 26.5360405874663, 52.6777914911395, 62.4264814855712
57, 2008.08755892851, 351.385015851659, 2899.62771191088, 3029.01636225886, 31.0345921670955, 61.7239559404286, 62.4264814855712
58, 2176.23270343286, 449.15952214916, 2899.62771191088, 3029.01636225886, 35.9974820721266, 71.7037896738647, 62.4264814855712
59, 2243.3584666578, 491.075063238402, 2899.62771191088, 3029.01636225886, 38.1205919501102, 75.9749865971773, 62.4264814855712
60, 2295.79497961071, 520.582607551085, 2899.62771191088, 3029.01636225886, 39.8503146899398, 79.472893304811, 62.4264814855712
61, 2310.81543157737, 530.000658696771, 2899.62771191088, 3029.01636225886, 40.3509706578901, 80.4802546681683, 62.4264814855712
