Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "4.16 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "4.16 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "4.16 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "4.16 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "4.16 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
1, 1942.00226507592, 307.223272288233, 1942.00226507592, 1966.15333496538, 1912.75698189008, 1052.7561935684, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 29.2415194987589, 58.1052938059114, 29.2415194987589, 58.1052938059114, 29.2415194987589, 58.1052938059114, 0, 0, 29.2415194987589, 0, 29.2415066241368, 0.0000128746220553838, 27.3014342251294, 0.907130222757829, 28.208564447887, 1.03294217624979, 0, 0, 0, 0, 29.2415194987589, 0, 0, 0, 0, 0, 0, 29.2415066241368, 0, 0, 0, 0, 0, 0, 0.0000128746220553838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1912.75698189008, 0, 0, 0, 0, 0, 0
2, 1796.36743032344, 217.59213338554, 1942.00226507592, 1966.15333496538, 1770.81208118012, 974.760145942869, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 25.5455394841853, 50.675930726626, 29.2415194987589, 58.1052938059114, 25.5455394841853, 50.675930726626, 0, 0, 29.2415194987589, 0, 25.5455277231692, 0.0000117610161463338, 23.8820223548127, 0.77237642042052, 24.6543987752348, 0.891128947934405, 0, 0, 0, 0, 25.5455394841853, 0, 0, 0, 0, 0, 0, 25.5455277231692, 0, 0, 0, 0, 0, 0, 0.0000117610161463338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1770.81208118012, 0, 0, 0, 0, 0, 0
3, 1692.4208310689, 153.95505699642, 1942.00226507592, 1966.15333496538, 1669.2691150131, 918.945894302964, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 23.1450804152856, 45.851954950533, 29.2415194987589, 58.1052938059114, 23.1450804152856, 45.851954950533, 0, 0, 29.2415194987589, 0, 23.1450693445814, 0.0000110707042066312, 21.6648241724835, 0.683091439751349, 22.347915612235, 0.797153732346315, 0, 0, 0, 0, 23.1450804152856, 0, 0, 0, 0, 0, 0, 23.1450693445814, 0, 0, 0, 0, 0, 0, 0.0000110707042066312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1669.2691150131, 0, 0, 0, 0, 0, 0
4, 1633.99268416446, 121.688549922126, 1942.00226507592, 1966.15333496538, 1612.13869421088, 887.507977068567, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 21.8597196886854, 43.2726653988558, 29.2415194987589, 58.1052938059114, 21.8597196886854, 43.2726653988558, 0, 0, 29.2415194987589, 0, 21.8597090246286, 0.000010664056863278, 20.4800850098808, 0.630905903059212, 21.1109909129399, 0.74871811168871, 0, 0, 0, 0, 21.8597196886854, 0, 0, 0, 0, 0, 0, 21.8597090246286, 0, 0, 0, 0, 0, 0, 0.000010664056863278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1612.13869421088, 0, 0, 0, 0, 0, 0
5, 1624.38237826196, 115.834219753344, 1942.00226507592, 1966.15333496538, 1602.71371526321, 882.337442535124, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 21.6578236663555, 42.8671154421436, 29.2415194987589, 58.1052938059114, 21.6578236663555, 42.8671154421436, 0, 0, 29.2415194987589, 0, 21.6578130601391, 0.0000106062163662998, 20.2938054179579, 0.623373619207797, 20.9171790371661, 0.740634022973002, 0, 0, 0, 0, 21.6578236663555, 0, 0, 0, 0, 0, 0, 21.6578130601391, 0, 0, 0, 0, 0, 0, 0.0000106062163662998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1602.71371526321, 0, 0, 0, 0, 0, 0
6, 1666.2848326023, 141.376607514788, 1942.00226507592, 1966.15333496538, 1643.78157313685, 904.876290393627, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 22.5508279678828, 44.661244494463, 29.2415194987589, 58.1052938059114, 22.5508279678828, 44.661244494463, 0, 0, 29.2415194987589, 0, 22.5508171105699, 0.0000108573128768738, 21.1176658629884, 0.656861584956187, 21.774527447945, 0.776289662624919, 0, 0, 0, 0, 22.5508279678828, 0, 0, 0, 0, 0, 0, 22.5508171105699, 0, 0, 0, 0, 0, 0, 0.0000108573128768738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1643.78157313685, 0, 0, 0, 0, 0, 0
7, 1747.27694552329, 190.871309240848, 1942.00226507592, 1966.15333496538, 1722.91225371221, 948.399313417866, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 24.3683382641179, 48.3136793898593, 29.2415194987589, 58.1052938059114, 24.3683382641179, 48.3136793898593, 0, 0, 29.2415194987589, 0, 24.3683268914222, 0.0000113726956353586, 22.795655548286, 0.724622133329034, 23.5202776816156, 0.848049209806675, 0, 0, 0, 0, 24.3683382641179, 0, 0, 0, 0, 0, 0, 24.3683268914222, 0, 0, 0, 0, 0, 0, 0.0000113726956353586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722.91225371221, 0, 0, 0, 0, 0, 0
8, 1813.58303105119, 231.51555925767, 1942.00226507592, 1966.15333496538, 1787.71536843622, 983.966775141838, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 25.9449056517796, 51.4821239334744, 29.2415194987589, 58.1052938059114, 25.9449056517796, 51.4821239334744, 0, 0, 29.2415194987589, 0, 25.9448938227464, 0.0000118290332444828, 24.2530132168058, 0.782406669411624, 25.0354198862177, 0.909473936528645, 0, 0, 0, 0, 25.9449056517796, 0, 0, 0, 0, 0, 0, 25.9448938227464, 0, 0, 0, 0, 0, 0, 0.0000118290332444828, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1787.71536843622, 0, 0, 0, 0, 0, 0
9, 1911.85595168448, 291.971392537327, 1942.00226507592, 1966.15333496538, 1883.43000389138, 1036.60940231299, 1912.75698189008, 2183.33114182569, 0, 0, 0, 0, 28.4307843180049, 56.4793243112254, 29.2415194987589, 58.1052938059114, 28.4307843180049, 56.4793243112254, 0, 0, 29.2415194987589, 0, 28.4307717371081, 0.0000125808967620399, 26.5527443860182, 0.872877974920527, 27.4256223609388, 1.00514937616929, 0, 0, 0, 0, 28.4307843180049, 0, 0, 0, 0, 0, 0, 28.4307717371081, 0, 0, 0, 0, 0, 0, 0.0000125808967620399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1883.43000389138, 0, 0, 0, 0, 0, 0
10, 2035.64570329765, 365.08088149688, 2035.64570329765, 2068.12414506207, 2003.82990783791, 1102.75280275815, 2003.82990783791, 2287.22496565962, 0, 0, 0, 0, 31.8112797541406, 63.2791402257216, 31.8112797541406, 63.2791402257216, 31.8112797541406, 63.2791402257216, 0, 0, 31.8112797541406, 0, 31.8112660781729, 0.0000136759677354562, 29.7065749434848, 0.974119708453404, 30.680694651938, 1.13057142623483, 0, 0, 0, 0, 31.8112797541406, 0, 0, 0, 0, 0, 0, 31.8112660781729, 0, 0, 0, 0, 0, 0, 0.0000136759677354562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2003.82990783791, 0, 0, 0, 0, 0, 0
