"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 2424.90570198975, 590.754327537068, 2424.90570198975, 2495.8281870045, 43.7851707472425, 87.3777461777323, 43.7851707472425
2, 2241.88189107444, 475.976095694256, 2424.90570198975, 2495.8281870045, 37.6754803697403, 75.0826850586892, 43.7851707472425
3, 2181.8817019962, 438.529661329448, 2424.90570198975, 2495.8281870045, 35.8080271369444, 71.3261589432501, 43.7851707472425
4, 2091.38634817098, 382.242913710462, 2424.90570198975, 2495.8281870045, 33.1141345621529, 65.9068006166511, 43.7851707472425
5, 2080.65190762278, 375.578569957392, 2424.90570198975, 2495.8281870045, 32.8046739068459, 65.2843630904391, 43.7851707472425
6, 2159.69079244829, 424.712844402158, 2424.90570198975, 2495.8281870045, 35.1328115117247, 69.9674032189514, 43.7851707472425
7, 2353.56866009398, 545.918425651324, 2424.90570198975, 2495.8281870045, 41.3296224012346, 82.4350021197047, 43.7851707472425
8, 2677.72518335949, 747.447654976599, 2677.72518335949, 2780.0881558914, 53.2385578089417, 106.40248776031, 53.2385578089417
9, 2980.57907220613, 934.728051139318, 2980.57907220613, 3123.71063564791, 66.0864959024272, 132.277595795903, 66.0864959024272
10, 3167.73777676987, 1037.39706997293, 3167.73777676987, 3333.27996171389, 73.8849748888259, 147.973388039297, 73.8849748888259
11, 3382.18311972525, 1177.20529141169, 3382.18311972525, 3581.19741894832, 84.6443304759096, 169.651926413189, 84.6443304759096
12, 3557.32243330733, 1292.3142563956, 3557.32243330733, 3784.78784501786, 94.0826974952857, 188.673819499006, 94.0826974952857
13, 3543.15303715052, 1282.97895522877, 3557.32243330733, 3784.78784501786, 93.2994584404767, 187.09614096432, 94.0826974952857
14, 3525.30058621897, 1271.21474860931, 3557.32243330733, 3784.78784501786, 92.315586778209, 185.1132271791, 94.0826974952857
15, 3575.47979046953, 1292.08104715025, 3575.47979046953, 3801.77973644725, 93.8414822485091, 188.167553885045, 94.0826974952857
16, 3608.16353692524, 1313.64181877778, 3608.16353692524, 3839.85662977652, 95.6479684757954, 191.806717456716, 95.6479684757954
17, 3611.9038387977, 1316.10922775696, 3611.9038387977, 3844.21550385883, 95.8584383067866, 192.23174797393, 95.8584383067866
18, 3460.96859526304, 1216.79667601248, 3611.9038387977, 3844.21550385883, 87.6545053491647, 175.695708728901, 95.8584383067866
19, 3382.01545472973, 1165.08601158531, 3611.9038387977, 3844.21550385883, 83.5356381964697, 167.396154229363, 95.8584383067866
20, 3298.02993214378, 1113.7153904746, 3611.9038387977, 3844.21550385883, 79.3316021882687, 158.918954556878, 95.8584383067866
21, 3163.63208068934, 1029.76442481739, 3611.9038387977, 3844.21550385883, 72.8083101164078, 145.777843040044, 95.8584383067866
22, 3163.66639715019, 1029.78763252398, 3611.9038387977, 3844.21550385883, 72.8112612947919, 145.784602622101, 95.8584383067866
23, 2988.94433126579, 923.793252418285, 3611.9038387977, 3844.21550385883, 64.8270885019474, 129.682775489989, 95.8584383067866
24, 2716.07558923213, 767.403170138, 3611.9038387977, 3844.21550385883, 54.1249472800276, 108.150891018366, 95.8584383067866
25, 2434.14574252828, 588.98280878174, 3611.9038387977, 3844.21550385883, 43.6037958727356, 86.9780631589992, 95.8584383067866
26, 2240.93106080897, 478.776648672467, 3611.9038387977, 3844.21550385883, 37.6338389771577, 74.9806448590702, 95.8584383067866
27, 2180.93421518682, 441.337314735844, 3611.9038387977, 3844.21550385883, 35.7653762422785, 71.2224748031603, 95.8584383067866
28, 2090.47473159067, 385.078822499811, 3611.9038387977, 3844.21550385883, 33.0709678362778, 65.8027867786769, 95.8584383067866
29, 2079.7445190094, 378.417840810917, 3611.9038387977, 3844.21550385883, 32.7614398542117, 65.1802979850343, 95.8584383067866
30, 2158.75212815068, 427.527374606616, 3611.9038387977, 3844.21550385883, 35.090048314862, 69.8636700377471, 95.8584383067866
31, 2352.55343547096, 548.672158505559, 3611.9038387977, 3844.21550385883, 41.2878019336269, 82.3316965226612, 95.8584383067866
32, 2677.05616416431, 750.36052888802, 3611.9038387977, 3844.21550385883, 53.2106541392515, 106.326288301407, 95.8584383067866
33, 2980.59295090374, 934.736383901679, 3611.9038387977, 3844.21550385883, 66.0869788910581, 132.278509818814, 95.8584383067866
34, 3167.73777677856, 1037.3970699774, 3611.9038387977, 3844.21550385883, 73.8849748866874, 147.973388043553, 95.8584383067866
35, 3382.18311972525, 1177.20529141169, 3611.9038387977, 3844.21550385883, 84.6443304701812, 169.651926414218, 95.8584383067866
36, 3557.32243330733, 1292.3142563956, 3611.9038387977, 3844.21550385883, 94.0826974953189, 188.673819499004, 95.8584383067866
37, 3543.15303715035, 1282.97895523772, 3611.9038387977, 3844.21550385883, 93.2994584405551, 187.096140937988, 95.8584383067866
38, 3525.30058621897, 1271.21474860931, 3611.9038387977, 3844.21550385883, 92.3155867752274, 185.113227184178, 95.8584383067866
39, 3575.47979046953, 1292.08104715025, 3611.9038387977, 3844.21550385883, 93.8414822505114, 188.167553885457, 95.8584383067866
40, 3608.16353692524, 1313.64181877778, 3611.9038387977, 3844.21550385883, 95.6479684767391, 191.806717462446, 95.8584383067866
41, 3611.9038387977, 1316.10922775696, 3611.9038387977, 3844.21550385883, 95.8584383044164, 192.23174797715, 95.8584383067866
42, 3460.96859526312, 1216.79667601248, 3611.9038387977, 3844.21550385883, 87.6545053477882, 175.695708745245, 95.8584383067866
43, 3382.01545472973, 1165.08601158531, 3611.9038387977, 3844.21550385883, 83.5356381964697, 167.396154229363, 95.8584383067866
44, 3298.02993214378, 1113.7153904746, 3611.9038387977, 3844.21550385883, 79.3316021882687, 158.918954556878, 95.8584383067866
