"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "4.16 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "4.16 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "4.16 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "4.16 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "4.16 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
1, 2424.90521785084, 590.741463174039, 2424.90521785084, 2495.82467170136, 2381.11315815439, 1310.51255820482, 2381.11315815439, 2717.92991763006, 84.4670854702244, 0, 85.9350588513632, 0, 43.7846883277398, 87.3648817937723, 43.7846883277398, 87.3648817937723, 43.7846883277398, 87.3648817937723, 0, 0, 43.7846883277398, 0, 43.7846706525903, 0.0000176751495813156, 40.8046723890853, 1.4155833675991, 42.220255756684, 1.56441489590626, 0, 0, 0, 0, 43.7846883277398, 0, 0, 0, 0, 0, 0, 43.7846706525903, 0, 0, 0, 0, 0, 0, 0.0000176751495813156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2381.11315815439, 0, 0, 0, 0, 0, 0
2, 2241.881482485, 475.965246080067, 2424.90521785084, 2495.82467170136, 2204.21267261799, 1213.34326115612, 2381.11315815439, 2717.92991763006, 0, 0, 0, 0, 37.6750735063366, 75.0718354781276, 43.7846883277398, 87.3648817937723, 37.6750735063366, 75.0718354781276, 0, 0, 43.7846883277398, 0, 37.6750578536615, 0.0000156526750737228, 35.1313298595898, 1.20162602547184, 36.3329558850618, 1.34210196859977, 0, 0, 0, 0, 37.6750735063366, 0, 0, 0, 0, 0, 0, 37.6750578536615, 0, 0, 0, 0, 0, 0, 0.0000156526750737228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2204.21267261799, 0, 0, 0, 0, 0, 0
3, 2181.88131660144, 438.519429808033, 2424.90521785084, 2495.82467170136, 2145.94861534056, 1181.4137437506, 2381.11315815439, 2717.92991763006, 0, 0, 0, 0, 35.8076434883694, 71.3159274731323, 43.7846883277398, 87.3648817937723, 35.8076434883694, 71.3159274731323, 0, 0, 43.7846883277398, 0, 35.8076284374956, 0.0000150508737802265, 33.3979274450069, 1.13636516206678, 34.534292607074, 1.27333583042155, 0, 0, 0, 0, 35.8076434883694, 0, 0, 0, 0, 0, 0, 35.8076284374956, 0, 0, 0, 0, 0, 0, 0.0000150508737802265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2145.94861534056, 0, 0, 0, 0, 0, 0
4, 2091.38599628283, 382.233575645731, 2424.90521785084, 2495.82467170136, 2058.26300993316, 1133.16023290382, 2381.11315815439, 2717.92991763006, 0, 0, 0, 0, 33.1137843774154, 65.8974625766542, 43.7846883277398, 87.3648817937723, 33.1137843774154, 65.8974625766542, 0, 0, 43.7846883277398, 0, 33.1137701923342, 0.0000141850812590692, 30.899993389714, 1.04051353225558, 31.9405069219692, 1.17326327036492, 0, 0, 0, 0, 33.1137843774154, 0, 0, 0, 0, 0, 0, 33.1137701923342, 0, 0, 0, 0, 0, 0, 0.0000141850812590692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2058.26300993316, 0, 0, 0, 0, 0, 0
5, 2080.65155958516, 375.569334700085, 2424.90521785084, 2495.82467170136, 2047.82516210138, 1127.43181388195, 2381.11315815439, 2717.92991763006, 0, 0, 0, 0, 32.8043275612782, 65.275127832716, 43.7846883277398, 87.3648817937723, 32.8043275612782, 65.275127832716, 0, 0, 43.7846883277398, 0, 32.8043134690451, 0.0000140922330552899, 30.6131082898277, 1.0294984940732, 31.6426067839024, 1.16170668514268, 0, 0, 0, 0, 32.8043275612782, 0, 0, 0, 0, 0, 0, 32.8043134690451, 0, 0, 0, 0, 0, 0, 0.0000140922330552899, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2047.82516210138, 0, 0, 0, 0, 0, 0
6, 2159.69041543966, 424.702836457951, 2424.90521785084, 2495.82467170136, 2124.56619475843, 1169.58239509637, 2381.11315815439, 2717.92991763006, 0, 0, 0, 0, 35.1324362296877, 69.9573953006276, 43.7846883277398, 87.3648817937723, 35.1324362296877, 69.9573953006276, 0, 0, 43.7846883277398, 0, 35.1324214008543, 0.0000148288334453333, 32.7720369338309, 1.11207397533926, 33.8841109091704, 1.24831049168385, 0, 0, 0, 0, 35.1324362296877, 0, 0, 0, 0, 0, 0, 35.1324214008543, 0, 0, 0, 0, 0, 0, 0.0000148288334453333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2124.56619475843, 0, 0, 0, 0, 0, 0
7, 2353.56820629735, 545.906369927635, 2424.90521785084, 2495.82467170136, 2312.26081616509, 1272.68622564384, 2381.11315815439, 2717.92991763006, 6.53557410132374, 0, 6.43874810189335, 0, 41.3291703090957, 82.4229463354721, 43.7846883277398, 87.3648817937723, 41.3291703090957, 82.4229463354721, 0, 0, 43.7846883277398, 0, 41.3291534552797, 0.0000168538160241542, 38.5244174492324, 1.32911926412293, 39.8535367133566, 1.4756167419231, 0, 0, 0, 0, 41.3291703090957, 0, 0, 0, 0, 0, 0, 41.3291534552797, 0, 0, 0, 0, 0, 0, 0.0000168538160241542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2312.26081616509, 0, 0, 0, 0, 0, 0
8, 2677.72458322769, 747.431697466845, 2677.72458322769, 2780.08328760131, 2624.46201156548, 1444.17707861239, 2624.46201156548, 2995.57144540733, 358.347046995678, 0, 405.483021675152, 0, 53.2379593720946, 106.386530301649, 53.2379593720946, 106.386530301649, 53.2379593720946, 106.386530301649, 0, 0, 53.2379593720946, 0, 53.2379384052689, 0.0000209668256607953, 49.5907004822341, 1.74953309581444, 51.3402335780476, 1.8977048272213, 0, 0, 0, 0, 53.2379593720946, 0, 0, 0, 0, 0, 0, 53.2379384052689, 0, 0, 0, 0, 0, 0, 0.0000209668256607953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2624.46201156548, 0, 0, 0, 0, 0, 0
9, 2980.57831516104, 934.707909366751, 2980.57831516104, 3123.7038861968, 2914.4472836527, 1603.38691972016, 2914.4472836527, 3326.38731712353, 682.874290042714, 0, 866.1694882955, 0, 66.0857405874358, 132.25745403904, 66.0857405874358, 132.25745403904, 66.0857405874358, 132.25745403904, 0, 0, 66.0857405874358, 0, 66.0857149586974, 0.0000256287383760524, 61.5812658647072, 2.16747754535617, 63.7487434100644, 2.33697154863295, 0, 0, 0, 0, 66.0857405874358, 0, 0, 0, 0, 0, 0, 66.0857149586974, 0, 0, 0, 0, 0, 0, 0.0000256287383760524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2914.4472836527, 0, 0, 0, 0, 0, 0
10, 3167.73692467787, 1037.3741360356, 3167.73692467787, 3333.27201441515, 3093.86922307432, 1702.4600943887, 3093.86922307432, 3531.34494810015, 865.452248672611, 0, 1163.01693883252, 0, 73.8841224810177, 147.950454083592, 73.8841224810177, 147.950454083592, 73.8841224810177, 147.950454083592, 0, 0, 73.8841224810177, 0, 73.8840939567916, 0.000028524226163277, 68.8818034728222, 2.40950076322348, 71.2913042360435, 2.59278972074816, 0, 0, 0, 0, 73.8841224810177, 0, 0, 0, 0, 0, 0, 73.8840939567916, 0, 0, 0, 0, 0, 0, 0.000028524226163277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3093.86922307432, 0, 0, 0, 0, 0, 0
